otu_id	gtdb	gtdb_conf	silva	silva_conf	Lys	R01	R02	R4C1	R4C2	RRT1	RRT2	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
757740c65f927c336b133b5fe042f6a1	d__Bacteria	0.89316423	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.816199521	0	11	14	0	0	11	0	21	0	0	0	0	6	6	5	6	0	0	14	10	6	10	0	9	0	0	0	0	9	6	5	8	0	0	0	23	0	10	10	13	12	0	0	0	11	0	6	12	7	15	0	0	16	0	0	12	13	0	16	8	0	0	0	0	26	30	10	21	0	0	0	0	0	9	6	12	5	0	0	0	0	0	10	12	12	7	0
aec305c0ee27c9392330919067553915	d__Bacteria	0.927018578	Unassigned	0.490827052	49	54	52	86	81	53	59	0	0	0	30	0	94	108	87	89	62	131	0	0	0	0	59	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4128e4cdb01717b43c3670daf385049	d__Bacteria	0.922609288	Unassigned	0.55343531	134	173	145	247	225	147	159	0	0	46	51	50	278	253	229	210	221	352	0	0	0	0	215	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	48	39	32	39
4b91cc69d67739c8568eae53e76cc4fd	d__Bacteria	0.880825927	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.87392358	5	9	8	13	3	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d3e1e87a1013c17f438b9f8bf63be52	d__Bacteria	0.915312601	Unassigned	0.349771093	0	2	2	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250735dc3170d53098c6a68e214a38dd	d__Bacteria	0.906619328	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.749085579	0	0	0	33	0	0	31	0	0	37	0	0	0	0	0	0	23	20	0	0	0	0	0	0	36	35	0	0	0	0	0	0	33	23	0	0	0	0	0	0	0	32	32	0	0	0	0	0	0	0	33	31	0	0	0	0	0	45	0	0	30	31	0	0	0	0	0	0	52	55	52	0	0	0	0	0	0	25	26	0	0	0	0	0	0	0	23
0eec6d1622b4c22701797720d47387a8	d__Bacteria	0.9051063	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.736335415	0	0	0	17	0	0	13	0	0	18	0	0	0	0	0	0	0	12	0	0	0	0	0	0	22	19	0	0	0	0	0	0	15	23	0	0	0	0	0	0	0	18	26	0	0	0	0	0	0	0	12	22	0	0	0	0	0	22	0	0	17	24	0	0	0	0	0	0	26	41	38	0	0	0	0	0	0	22	18	0	0	0	0	0	0	0	19
6f25c9ed1c2ac847640d3a9fa8603433	d__Bacteria	0.890778343	d__Bacteria	0.70116653	0	0	0	5	0	0	0	0	0	16	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
89b331575520a4871cc1b36f1f8d348f	d__Bacteria	0.918374289	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.791796644	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	15	0	0	13	0	0	0	0	0	0	0	17	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
1f01a03fd3952bba5880a0ad6c517c2d	d__Bacteria	0.909476946	Unassigned	0.311695382	0	0	0	21	0	0	13	0	0	21	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	22	0	0	0	0	0	0	13	20	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0	0	10	19	0	0	0	0	0	18	0	0	9	19	0	0	0	0	0	0	23	31	31	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	19
f15cd31a873039ed0018c684cfbc38c4	d__Bacteria	0.916924383	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.80785451	0	0	0	15	0	0	0	0	0	17	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	13	11	0	0	0	0	0	18	0	0	0	19	0	0	0	0	0	0	20	23	19	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	6
9658bfae954235c4c8a7941cf70565fc	d__Bacteria	0.919786348	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.741635355	0	0	0	0	0	0	28	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	13	15	19	0	0	0	0	0	0	20	7	0	0	0	0	0	0	0	15
ad8198db6adee3406f909dbab2da4cb9	d__Bacteria	0.913836002	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.822161426	0	0	0	20	0	0	19	0	0	33	0	0	0	0	0	0	15	18	0	0	0	0	0	0	16	23	0	0	0	0	0	0	16	19	0	0	0	0	0	0	0	23	30	0	0	0	0	0	0	0	14	24	0	0	0	0	0	21	0	0	14	26	0	0	0	0	0	0	29	57	45	0	0	0	0	0	0	26	23	0	0	0	0	0	0	0	20
08a49d612a918134c3903ba8483c4fb9	d__Bacteria	0.925870978	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.866136864	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6386bbce9d5ee236f77e7d83f2057070	d__Bacteria	0.925800229	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.79175013	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0	0	0	10	0	0	0	0	0	23	0	0	0	12	0	0	0	0	0	0	13	23	23	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	12
bd7e0e798b4b3f25f730f09ebd2bc702	d__Bacteria	0.925413031	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.83918899	0	0	0	32	0	0	23	0	0	34	0	0	0	0	0	0	17	33	0	0	0	0	0	0	27	18	0	0	0	0	0	0	27	24	0	0	0	0	0	0	0	27	31	0	0	0	0	0	0	0	22	34	0	0	0	0	0	33	0	0	24	25	0	0	0	0	0	0	47	47	62	0	0	0	0	0	0	18	22	0	0	0	0	0	0	0	35
