genera	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
g__VGSZ01	0	0	0	0	75	0	0	0	63	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	74	0	0	0	0	0	58	0	32	0	0	0	0	241	0	202	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0
g__Lunatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__LD21	0	6	0	33	0	0	8	0	0	0	0	0	0	0	18	0	0	3	0	0	0	179	0	0	3	0	0	0	0	0	59	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	252	52	44	0	0	0	3	0	0	0
g__JAGVLQ01	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	3	0	0	44	0	0	0	0	0	0	0	0	0	29	0	4	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0
g__UBA6170	0	0	0	7	0	0	5	0	0	0	0	6	0	0	0	0	0	8	12	0	2	0	0	0	0	0	0	0	0	138	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	195	351	0	0	0	0	0	0	0	0
g__UBA12395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	19	0	0	10	0	0	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__C7867-001	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	107	0	0	0	0	27	0	3	0	101	0	0	0	79	0	0	0	0	0	0	0	0	18	0	0	38	62	0	0	8	0	0	0
g__Nitrolancea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
g__VGBK01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13	9	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
g__JACRBT01	0	0	0	0	0	0	9	0	0	0	0	0	0	70	49	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	33	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	233	0	4	0	0	0	0	0
