site_id	Site	Sample Type	Sample Point	Ag	alk_bicarb	alk_carb	alk_total	As	B	Ba	Be	Br	Ca	Cd	Cl	Co	Cr	Cu	DO	EC	F	Fe	K	Li	Mg	Mn	Mo	Na	Ni	ORP	P	Pb	ph_field	ph_lab	Sb	Se	SO4	Sr	TDS	TEMP	Tl	TURB	U	V	Zn
S64	13113	CCP Porewater	XPW-01-FIL				215	-0.001	0.965	0.128	-0.001		66	-0.001	35	-0.001	-0.0015	-0.001	0.54	639	0.58	0.909	11	0.0175	21.2	0.0873	0.0499	45.9	-0.001	-101.8		-0.001	6.98	7.15	-0.001	-0.001	89	0.455	408	17.7	-0.002	6.23	0.0017	-0.005	-0.015
S74	13113	GW-Downgradient	MW-370-FIL				395	-0.001	1.81	0.0429	-0.001		38.2	-0.001	1300	-0.001	-0.0015	-0.001	0.56	4971	3.39	-0.025	6.39	0.193	23.2	0.0143	0.0089	1150	-0.001	-139.7		-0.001	7.49	8.1	-0.001	-0.001	262	2.57	2940	15.6	-0.002	2.36	-0.001	-0.005	-0.015
S73	13113	GW-Downgradient	MW-393-FIL				801	-0.001	1.79	0.0403	-0.001		7.67	-0.001	549	-0.001	-0.0015	-0.001	0.47	3592	8.05	-0.025	3.26	0.101	3.87	0.0135	0.0025	958	-0.001	-338		-0.001	8.24	8.22	-0.001	-0.001	165	0.365	1990	16.7	-0.002	24.9	-0.001	-0.005	-0.015
S75	13113	GW-Upgradient	MW-358-FIL				804	0.0038	1.33	0.236	-0.001		13.3	-0.001	1050	-0.001	-0.003	-0.001	0.9	5516	3.14	0.129	4	0.166	6.8	0.277	-0.003	1280	-0.001	-257.8		-0.001	7.84	8.14	-0.001	-0.001	12	0.549	1070	14.2	-0.002	6.46	0.00197	-0.005	-0.015
S26	13116	CCP Porewater	NED1-FF				180	0.036	11	0.22	-0.00053		430	-0.00017	12	0.00053	-0.0011	0.00081	1.09	2409	0.29	0.2	28	0.3	40	0.2	0.08	63	0.0007	-27.7		-0.00019	8.21	8.1	-0.0013	-0.00098	1300	1.8	2300	16.1	-0.00057	0	0.0069	-0.0022	-0.0069
S27	13116	GW-Upgradient	22-FF				430	-0.00023	0.55	0.082	-0.00053		41	-0.00017	10	-0.0004	-0.0011	-0.0005	1.34	864	0.49	0.19	2.4	0.034	23	0.018	-0.0025	110	-0.00063	-8.1		-0.00019	7.36	8.2	-0.0013	-0.00098	30	0.33	500	13.1	-0.00057	0	-0.00015	-0.0022	-0.0069
S93	17481	CCP Porewater	Leachate (Day 1)		161		161	0.0521	30.3	0.0453	-0.001		561	0.003	572	-0.002	0.0316	-0.002	5.39	5422	0.42	-0.08	591	6.75	30.2	0.0143	6.72	330	-0.001	222.6		-0.002	8.2		-0.002	0.0321	2130	7.01	4150	23.8	0.003	1.48		0.0614	-0.016
S95	17481	CCP Porewater	Leachate (Day 2)		162		162	0.0458	31.6	0.0481	-0.001		577	0.003	612	-0.002	0.031	-0.004	5.19	5706	0.43	-0.08	625	6.87		0.0283	6.92	348	-0.001	185		-0.002	8.18		-0.002	0.0293	2160	7.17	4210	25.8	0.0031	0.6		0.0608	-0.016
S92	17481	GW-Downgradient	PH-MW-03A		445		445	-0.001	3.42	0.0531	-0.001		9.23	-0.0002	334	-0.001	-0.001	-0.002	1.36	2355	1.8	-0.04	10.7	0.0893	3.62	0.0071	0.023	494	-0.001	68.4		-0.001	8.05		-0.001	-0.002	49.6	0.833	1120	9.5	-0.0002	0.94		0.0034	-0.004
S85	17481	GW-Downgradient	SLF-MW-2B		318		318	-0.002	4.45	0.11	-0.001		70.6	-0.0002	1940	-0.002	-0.002	-0.002	0.65	7076	1.2	0.351	25.3	0.308	26	0.151	0.0098	1410	0.0017	-164.7		-0.002	7.69		-0.001	0.0022	402	5.78	3980	12.2	-0.0002	1.01		-0.002	-0.016
S86	17481	GW-Downgradient	SLF-MW-3B		238		238	-0.001	2.26	0.0668	-0.001		183	-0.0002	217	-0.001	-0.001	-0.002	0.31	1807	0.17	0.445	9.31	0.416	41.8	0.35	0.0697	125	-0.001	-80.2		-0.001	7.18		-0.001	-0.002	387	1.85	1120	13.3	-0.0002	0.47		-0.001	-0.004
S87	17481	GW-Downgradient	SLF-MW-5R/5B		278		278	-0.001	1.13	0.0584	-0.001		154	-0.0002	51.2	-0.001	-0.001	-0.002	4.12	1067	0.17	-0.04	3.38	0.155	31.2	-0.002	0.018	25.2	-0.001	192.5		-0.001	7.05		-0.001	-0.002	243	0.928	706	13	-0.0002	4.41		-0.001	-0.004
S90	17481	GW-Upgradient	PH-MW-01		1160		1160	-0.001	1.89	0.0464	-0.001		340	-0.0002	128	0.0081	-0.001	-0.002	1.49	2556	-0.1	0.375	17.4	0.0898	98.4	0.534	-0.001	195	0.0151	124.6		-0.001	6.19		-0.001	-0.002	343	6.16	1860	10.2	-0.0002	0.35		-0.001	0.0074
