,S101,S109,S102,S106,S108,S98,S107,S103,S104,S105,S75,S64,S73,S74,S27,S26,S89,S90,S91,S88,S95,S93,S85,S86,S87,S92,S59,S45,S47,S49,S51,S53,S55,S10,S11,S14,S20,S40,S15,S17,S18,S19,S8,S9,S1,S16,S62,S34,S6,S60,S81,S82,S83,S84,S29,S30,S31,S32,S36,S38,S39,S41,S42,S43,S68,S76,S77,S1601,S1602,S21,S22,S23,S24,S3,S4,S5
g__Nitrospira_D,0,0.051661408,0.05112679,0.045663124,0.048507225,0.068268002,0,0.030206581,0.072593998,0.038286501,0.045211727,0.06766583,0.066735557,0,0.085374093,0.060339286,0.058277265,0.046372314,0,0.030381359,0,0.048667893,0.037317042,0.040670273,0,0.039711541,0,0,0,0.054208946,0,0.029290785,0,0,0.02929642,0,0.042509218,0.080465374,0,0.053652694,0.049374756,0.049190179,0,0.056728574,0.081920415,0.05117443,0.036376144,0.095531033,0.048892136,0.027550801,0.0418409,0.042060272,0,0.068225906,0.102080637,0,0.0343668,0,0.177981673,0.068226912,0,0.049919491,0,0.050870263,0.102786368,0.079886368,0,0,0,0,0,0.039566175,0.038043073,0.080355111,0.052695453,0.009475585
g__M3007,0,0.018201631,0.034714121,0.043598433,0.050675977,0,0,0.047058553,0.09808626,0.047013307,0.040495669,0,0,0.089632394,0,0,0.054203797,0.046452376,0.076081345,0,0,0.021992641,0.071239049,0.024136906,0,0.036676048,0.022907611,0,0,0,0,0.040329282,0.080946931,0,0.054966148,0,0,0.06623412,0,0,0.046648196,0.019188789,0,0.006827694,0,0.023735797,0.038975382,0.049261892,0.024042282,0.066500619,0,0.050615643,0.088747469,0,0,0.02963031,0.061160958,0,0,0.015617734,0,0.04304581,0,0,0,0,0,0.05103364,0,0.062365904,0,0.0175749,0,0,0,0.059116668
g__Sediminibacterium,0.082771185,0.059912481,0.027853653,0.045191534,0.062890978,0.061747513,0.189524394,0.060353802,0.12185036,0,0.037648719,0.047973735,0,0.080147657,0,0.060394246,0,0.042768953,0,0.044726226,0.065844816,0,0,0.037704559,0.038620195,0.03281474,0.042191178,0,0,0.009685727,0.091340555,0.050709217,0,0,0,0,0,0.062320723,0.066569344,0.035036652,0.017524786,0,0,0,0,0,0,0.069748732,0.025791918,0,0.053872815,0.049083067,0,0,0,0.034149081,0.045016976,0,0.099355754,0,0,0,0.061200238,0.051272397,0,0,0,0.063456998,0,0.06556807,0,0.056623955,0,0,0.048427874,0.034726121
g__Flavobacterium,0.036391225,0.006521605,0.018660799,0.055767134,0.033406286,0,0.094772173,0.070254666,0.070139112,0.04364875,0,0,0,0.081348567,0,0,0,0.051349221,0,0,0,0,0,0.038019752,0.070415024,0.038295576,0.017769494,0.085094772,0,0.033540269,0.106050212,0.0581807,0,0.028679845,0.023711024,0,0,0,0.011562225,0.027219871,0.03238262,0.036656052,0,0,0,0.049716557,0.024139327,0.035932049,0.015125294,0.077385906,0.037734386,0.055561696,0,0,0,0.061917729,0.049726363,0,0,0,0,0.052341862,0,0.006905294,0,0,0,0.077509353,0,0.058131931,0,0,0,0,0.028261915,0.067932549
g__Reyranella,0.011094845,0.069269115,0.044357391,0.04406963,0.064040981,0.070010899,0,0,0,0.04911385,0.051213285,0.075727182,0.065481001,0,0.068496501,0.064620572,0.059600391,0.046372314,0.077432708,0,0.076734064,0,0,0.048700604,0.062965146,0.036554979,0.040785112,0.065489923,0,0.055729974,0,0.040667297,0,0.030109357,0.057925951,0,0.07269517,0.090168907,0.07996446,0.060468428,0.059541348,0.036656052,0.065031426,0.052314254,0.054946404,0.051736121,0.042808242,0,0.045790278,0.062116103,0.058812552,0.046848677,0,0.08250986,0.065503936,0.055015267,0.05583978,0.115583491,0.073250036,0.058627077,0,0.046621491,0.085647695,0.057930956,0.102786368,0.062116611,0,0.032382358,0,0.054597165,0,0.081532749,0.067907641,0,0.061448958,0.050721575
g__Hydrogenophaga,0,0.042906624,0.034553964,0.049128803,0,0,0.218177487,0.03144418,0,0.054999929,0.051425092,0.073145496,0,0,0,0,0.070263066,0.035507416,0.084303333,0.069310491,0,0.051352336,0,0.045791307,0.092022866,0.033148005,0,0,0,0,0,0,0,0.099237894,0.034367442,0,0,0.037771648,0,0.04535132,0.049458395,0.070755638,0.099345598,0.068049442,0.082735809,0.048719765,0.057500871,0.078562641,0.054864008,0.07315002,0.075374615,0.047163431,0,0,0.088584933,0.061444591,0.045287531,0,0,0.056372277,0,0.047063647,0,0,0,0.04695506,0,0.042526549,0.123948468,0,0.092356173,0.050390663,0.06957321,0.119355269,0.045482891,0.063672365
g__Azospirillum,0,0.039946068,0.039812844,0.021872668,0.056001019,0.059719549,0,0.03884224,0,0.03783486,0.049753612,0,0,0,0.038837768,0.049668704,0.040900406,0.040595298,0,0,0.064164399,0.048922663,0.05109829,0.035423002,0.018369009,0.036386314,0.014107865,0.056304757,0,0.045912545,0,0.032582581,0,0.01956121,0,0,0,0,0.078034966,0.025762044,0.043248368,0.057713774,0,0.031319695,0,0.045653903,0.054497978,0,0.042174585,0.06380865,0.05601919,0.042902887,0,0.028372438,0,0.039373144,0.033496658,0,0,0.051655502,0,0.038056598,0,0.054098446,0,0.062608007,0,0.045117929,0.021094402,0,0,0.060870792,0.05258135,0,0.054775021,0.023743257
g__Parvibaculum,0,0.054269371,0.046678955,0,0.032900548,0,0,0.021550164,0.041147118,0.010076749,0.040495669,0.066358547,0,0,0.070047425,0.034277308,0.053327467,0,0,0.072260669,0.045527488,0.047151561,0,0.043960853,0,0,0,0,0,0.043927167,0,0,0.083426586,0.086087517,0,0.135078343,0.066170667,0,0,0.052870776,0,0.054644651,0.06307588,0.060414592,0.046872366,0,0.04929138,0,0.024802704,0.046216735,0.054436867,0,0,0,0.102080637,0,0,0,0.125102552,0.060636905,0,0.037353142,0,0,0.11382701,0.089658459,0.06738009,0,0,0,0,0,0.067465058,0,0.042418287,0.035789878
g__Pseudomonas_E,0,0,0.060906408,0.040367487,0,0.03278491,0.171277849,0.054721796,0,0.030666312,0.047258444,0,0.057489652,0.043987509,0,0.057226526,0.014363558,0.046507229,0,0,0.058433664,0,0.035213445,0.049383482,0,0,0,0.057102626,0.121784408,0,0.114264798,0.03899722,0,0,0.063906152,0,0,0,0.045467797,0,0,0,0.084361923,0,0.088842496,0.049953565,0.051778893,0.054049995,0.042332135,0,0.019581585,0.054066433,0,0,0,0.031944044,0.051078609,0,0,0,0.148196316,0.047624536,0,0.069597951,0.107982377,0.076743051,0.041668889,0.060679858,0.107468081,0,0,0,0,0,0.063148258,0.04961228
g__Phenylobacterium,0.080840394,0.05122721,0.040077019,0.045074781,0.049816132,0.060689712,0,0.047674723,0,0,0.023769257,0,0.021838574,0.084430651,0.053181809,0,0.043881864,0.039424395,0,0.072260669,0.049037016,0.047730262,0,0.045111117,0.044046038,0.035624031,0.06916388,0,0,0.041817013,0,0.035338938,0,0.061750994,0.061240542,0,0.067591352,0,0.061086011,0.060297113,0.048580004,0.0496153,0.073199016,0.020344801,0.06802526,0.040080993,0.049182207,0.072241242,0.039872426,0.07252244,0.046921998,0.032303805,0,0,0,0.055712376,0.048706515,0,0,0.057482268,0,0.049346829,0.053074404,0.036212977,0.058532205,0.013410538,0.056768866,0.034199498,0,0.047694608,0,0.076110576,0,0,0.047019988,0.021305719
